"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000163814",8.12212803894479e-13,3.27433699562054,5.91231491030017e-11,"Up"
"ENSG00000130303",1.42560121809629e-07,3.2727697966013,3.49821733640976e-06,"Up"
"ENSG00000136099",1.97805389870246e-08,3.27215508689204,5.95561347861538e-07,"Up"
"ENSG00000196993",7.13287391399981e-14,3.27209512250203,6.23825998427324e-12,"Up"
"ENSG00000214814",0.000149258904252927,3.26682551816838,0.00142560032051832,"Up"
"ENSG00000144891",5.97796123485762e-10,3.26447404727804,2.51284863456797e-08,"Up"
"ENSG00000107968",1.15717607489927e-29,3.26156202960352,6.5782704676893e-27,"Up"
"ENSG00000138061",4.96058558699529e-24,3.25685538691179,1.62245125308355e-21,"Up"
"ENSG00000128342",2.87305370779652e-13,3.25666935879838,2.25648126076808e-11,"Up"
"ENSG00000109511",6.30881700215021e-11,3.25018975794587,3.19807462300082e-09,"Up"
"ENSG00000115267",3.75898701416432e-08,3.2401421008542,1.07742585774535e-06,"Up"
"ENSG00000239332",9.7923553549621e-09,3.22936065513327,3.18531711791655e-07,"Up"
"ENSG00000107201",4.42216067744004e-09,3.22477643785217,1.5679895714888e-07,"Up"
"ENSG00000168453",5.01677900112298e-08,3.22264855588524,1.38155265779484e-06,"Up"
"ENSG00000143199",1.29265621399656e-05,3.21669252543109,0.000180593679142082,"Up"
"ENSG00000144655",1.14584448962438e-22,3.21215697580284,3.33636378466727e-20,"Up"
"ENSG00000139890",1.35314043910979e-06,3.20799124386926,2.51812791303082e-05,"Up"
"ENSG00000274290",5.41529628523365e-08,3.20708841528767,1.47597732997989e-06,"Up"
"ENSG00000110446",7.7468173885987e-06,3.19740934093736,0.000115457560530701,"Up"
"ENSG00000115009",1.39728849494263e-06,3.19428801510628,2.59421929278774e-05,"Up"
"ENSG00000183423",0.00115683755598809,3.1933324530051,0.00780464919094988,"Up"
"ENSG00000117586",8.59808799018969e-11,3.1910141082376,4.28576093640436e-09,"Up"
"ENSG00000168062",6.64907644681755e-06,3.18661213836705,0.000100731820586431,"Up"
"ENSG00000285446",8.07589403206513e-09,3.18032726476611,2.68551595974355e-07,"Up"
"ENSG00000132326",6.44401027121346e-25,3.17893439162169,2.3311695338711e-22,"Up"
"ENSG00000185885",8.65820373665007e-08,3.17299680349124,2.25864858027783e-06,"Up"
"ENSG00000112149",5.90913978136124e-26,3.16715761648113,2.51940395392466e-23,"Up"
"ENSG00000144802",1.99434914032131e-21,3.16578927585774,5.01232421834858e-19,"Up"
"ENSG00000173805",1.15600209330369e-07,3.16375079216357,2.89012628059885e-06,"Up"
"ENSG00000286177",7.99990202765379e-07,3.14533043442171,1.5957030978468e-05,"Up"
"ENSG00000269420",0.00130085477455073,3.14229278874551,0.00860842810342942,"Up"
"ENSG00000287470",8.54850303294327e-05,3.13945219956256,0.000905117775674295,"Up"
"ENSG00000238117",0.000528490647641071,3.13807395662722,0.00406908826284367,"Up"
"ENSG00000157542",1.69316347479916e-10,3.1299972172746,7.89569748521578e-09,"Up"
"ENSG00000271425",5.05392982957289e-15,3.12891786432456,5.46007369280011e-13,"Up"
"ENSG00000178685",1.2305521876119e-11,3.12693134752641,7.30862289338851e-10,"Up"
"ENSG00000139304",6.32214477191387e-06,3.12573612619726,9.65755141229786e-05,"Up"
"ENSG00000123612",6.29990644597204e-09,3.11725920002366,2.14880809005755e-07,"Up"
"ENSG00000255866",3.34450466592274e-05,3.10927286527428,0.000402486861913162,"Up"
"ENSG00000007908",1.67874793302508e-07,3.10726584508658,4.06097119036544e-06,"Up"
"ENSG00000111181",8.80470432813446e-05,3.10556769998783,0.000928538518279763,"Up"
"ENSG00000182752",2.72727399546518e-25,3.10553661407627,1.05026441799559e-22,"Up"
"ENSG00000148339",6.34534365472353e-13,3.10492883567591,4.66158231077474e-11,"Up"
"ENSG00000116711",8.97179548787043e-22,3.10321323551842,2.43421123941357e-19,"Up"
"ENSG00000087589",1.05802264905065e-09,3.09148582523466,4.2102247947889e-08,"Up"
"ENSG00000145555",1.09242544374994e-13,3.08302976314118,9.31526781963345e-12,"Up"
"ENSG00000162069",7.14953357320704e-07,3.07759964156588,1.44540443347918e-05,"Up"
"ENSG00000115844",2.45426397696879e-05,3.06875551938779,0.000311194937408958,"Up"
"ENSG00000131459",1.80321594003369e-16,3.06245282564725,2.4602047876711e-14,"Up"
"ENSG00000268093",3.80366442597126e-07,3.06152180242997,8.3048735535931e-06,"Up"
"ENSG00000242689",0.000792445679963075,3.05842395019713,0.00569549459807297,"Up"
"ENSG00000077150",2.28701673867732e-31,3.0566257517431,1.47580572034215e-28,"Up"
"ENSG00000149798",1.42449165859371e-06,3.05591586011691,2.63040702556715e-05,"Up"
